iter	Passed	Remaining
0	5	5455
1	9	4837
2	15	4992
3	19	4786
4	22	4549
5	26	4401
6	31	4488
7	35	4413
8	39	4343
9	43	4288
10	49	4424
11	52	4362
12	57	4354
13	62	4380
14	68	4473
15	71	4418
16	76	4403
17	81	4428
18	86	4450
19	90	4456
20	96	4511
21	101	4517
22	106	4535
23	112	4575
24	121	4750
25	128	4811
26	132	4775
27	136	4726
28	146	4900
29	152	4914
30	160	5009
31	164	4975
32	168	4938
33	174	4967
34	180	4964
35	186	4983
36	194	5072
37	199	5045
38	209	5160
39	214	5152
40	272	6376
41	283	6470
42	294	6563
43	307	6677
44	315	6704
45	327	6791
46	373	7574
47	386	7659
48	394	7661
49	407	7741
50	414	7721
51	421	7684
52	468	8370
53	473	8299
54	477	8209
55	481	8113
56	487	8062
57	491	7981
58	495	7897
59	501	7850
60	505	7788
61	509	7713
62	514	7659
63	520	7613
64	525	7565
65	532	7533
66	537	7480
67	540	7414
68	545	7358
69	551	7333
70	555	7274
71	560	7224
72	566	7194
73	570	7143
74	574	7091
75	581	7064
76	585	7012
77	588	6961
78	593	6915
79	599	6893
80	603	6848
81	607	6799
82	613	6774
83	618	6742
84	622	6702
85	628	6681
86	632	6640
87	636	6597
88	640	6553
89	645	6527
90	649	6489
91	653	6454
92	659	6431
93	663	6395
94	667	6359
95	671	6322
96	677	6304
97	682	6278
98	686	6243
99	692	6230
100	697	6205
101	701	6172
102	705	6144
103	712	6135
104	718	6127
105	726	6124
106	730	6098
107	734	6067
108	740	6051
109	744	6021
110	748	5996
111	752	5967
112	758	5955
113	765	5948
114	769	5919
115	776	5916
116	780	5888
117	784	5863
118	791	5859
119	797	5847
120	803	5834
121	807	5808
122	811	5783
123	815	5759
124	821	5752
125	825	5727
126	829	5703
127	835	5692
128	839	5668
129	843	5643
130	847	5619
131	852	5605
132	856	5581
133	859	5557
134	864	5541
135	868	5520
136	872	5498
137	876	5476
138	881	5461
139	885	5440
140	890	5422
141	894	5403
142	899	5389
143	902	5362
144	906	5343
145	910	5325
146	916	5317
147	918	5289
148	923	5276
149	928	5260
150	933	5250
151	938	5237
152	943	5220
153	948	5212
154	950	5184
155	955	5167
156	958	5148
157	964	5138
158	967	5119
159	972	5104
160	978	5099
161	982	5082
162	986	5066
163	992	5060
164	998	5054
165	1002	5037
166	1007	5025
167	1013	5020
168	1017	5005
169	1022	4992
170	1026	4977
171	1030	4961
172	1034	4944
173	1038	4931
174	1043	4918
175	1047	4902
176	1049	4882
177	1051	4857
178	1057	4848
179	1061	4834
180	1065	4819
181	1069	4809
182	1074	4798
183	1079	4786
184	1083	4774
185	1090	4770
186	1092	4750
187	1096	4736
188	1100	4723
189	1108	4726
190	1114	4719
191	1117	4701
192	1124	4702
193	1128	4690
194	1133	4677
195	1141	4683
196	1146	4673
197	1153	4671
198	1158	4662
199	1162	4649
200	1169	4649
201	1176	4645
202	1188	4664
203	1192	4653
204	1198	4649
205	1204	4642
206	1210	4638
207	1218	4638
208	1229	4654
209	1239	4663
210	1247	4666
211	1252	4656
212	1257	4645
213	1263	4640
214	1267	4629
215	1272	4619
216	1278	4614
217	1283	4604
218	1288	4595
219	1294	4590
220	1299	4579
221	1304	4570
222	1308	4560
223	1315	4557
224	1321	4550
225	1326	4544
226	1331	4535
227	1337	4528
228	1343	4521
229	1348	4515
230	1352	4503
231	1358	4498
232	1363	4487
233	1367	4476
234	1373	4470
235	1377	4458
236	1381	4447
237	1385	4436
238	1392	4434
239	1401	4436
240	1408	4436
241	1414	4429
242	1418	4418
243	1423	4410
244	1427	4400
245	1432	4390
246	1438	4384
247	1443	4376
248	1447	4366
249	1452	4356
250	1456	4345
251	1460	4334
252	1464	4324
253	1470	4317
254	1474	4307
255	1478	4297
256	1482	4285
257	1487	4277
258	1491	4267
259	1495	4257
260	1501	4250
261	1505	4240
262	1511	4235
263	1516	4228
264	1520	4216
265	1524	4207
266	1528	4196
267	1533	4189
268	1538	4179
269	1542	4170
270	1546	4160
271	1551	4151
272	1555	4141
273	1558	4130
274	1564	4124
275	1570	4118
276	1574	4108
277	1579	4102
278	1583	4092
279	1587	4082
280	1592	4073
281	1599	4072
282	1606	4070
283	1612	4065
284	1616	4055
285	1622	4049
286	1626	4041
287	1630	4032
288	1635	4023
289	1639	4015
290	1645	4008
291	1649	3999
292	1653	3990
293	1657	3980
294	1662	3971
295	1667	3964
296	1670	3955
297	1676	3948
298	1681	3941
299	1685	3932
300	1689	3924
301	1694	3915
302	1698	3906
303	1702	3898
304	1708	3893
305	1713	3885
306	1717	3877
307	1722	3870
308	1726	3861
309	1731	3853
310	1734	3843
311	1739	3836
312	1744	3828
313	1748	3820
314	1753	3812
315	1757	3804
316	1761	3794
317	1765	3786
318	1770	3779
319	1774	3770
320	1778	3762
321	1782	3754
322	1788	3749
323	1794	3743
324	1799	3736
325	1805	3732
326	1812	3729
327	1817	3722
328	1821	3715
329	1826	3708
330	1830	3700
331	1836	3695
332	1841	3688
333	1845	3680
334	1851	3674
335	1855	3666
336	1861	3662
337	1867	3657
338	1872	3651
339	1877	3643
340	1881	3636
341	1886	3629
342	1890	3621
343	1894	3612
344	1900	3607
345	1905	3601
346	1910	3594
347	1915	3588
348	1919	3580
349	1924	3573
