State,District,Sulfur (S) Status,Boron (B) Status
Punjab,Tarn Taran,Typical sulfur deficiency patterns in alluvial soils,Boron concentration variations in agricultural soils
Punjab,Khadoor Sahib,"In 2024-25, percentage of soils high in organic carbon has decreased","Available boron: 0.26-0.78 mg/kg (aridic), 0.38-0.84 mg/kg (ustic)"
Punjab,Gandiwind,"In 2024-25, percentage of soils high in organic carbon has decreased","Available boron: 0.26-0.78 mg/kg (aridic), 0.38-0.84 mg/kg (ustic)"
Punjab,Chohla Sahib,"In 2024-25, percentage of soils high in organic carbon has decreased","Available boron: 0.26-0.78 mg/kg (aridic), 0.38-0.84 mg/kg (ustic)"
Punjab,Naushehra Pannuan,"In 2024-25, percentage of soils high in organic carbon has decreased","Available boron: 0.26-0.78 mg/kg (aridic), 0.38-0.84 mg/kg (ustic)"
Punjab,Valtoha,"In 2024-25, percentage of soils high in organic carbon has decreased","Available boron: 0.26-0.78 mg/kg (aridic), 0.38-0.84 mg/kg (ustic)"
Punjab,Jandiala,"In 2024-25, percentage of soils high in organic carbon has decreased","Available boron: 0.26-0.78 mg/kg (aridic), 0.38-0.84 mg/kg (ustic)"
Punjab,Patti,"In 2024-25, percentage of soils high in organic carbon has decreased","Available boron: 0.26-0.78 mg/kg (aridic), 0.38-0.84 mg/kg (ustic)"
Punjab,Patiala,"In 2024-25, percentage of soils high in organic carbon has decreased","Available boron: 0.26-0.78 mg/kg (aridic), 0.38-0.84 mg/kg (ustic)"
Punjab,Shahid Bhagat Singh Nagar,"In 2024-25, percentage of soils high in organic carbon has decreased","Available boron: 0.26-0.78 mg/kg (aridic), 0.38-0.84 mg/kg (ustic)"
Punjab,Ludhiana,Moderate sulfur availability in agricultural lands,Post-harvest boron content in crop lands
Punjab,Sirsa,"In 2024-25, percentage of soils high in organic carbon has decreased","Available boron: 0.26-0.78 mg/kg (aridic), 0.38-0.84 mg/kg (ustic)"
Uttar Pradesh,Fathepur,Low sulfur content in agricultural soils,Limited data available
Uttar Pradesh,Chitrakoot,"By 2016, ~70% soil samples with <8 ppm sulfate-sulfur",Limited data available
Uttar Pradesh,Sonbhadra,"By 2016, ~70% soil samples with <8 ppm sulfate-sulfur",Limited data available
Uttar Pradesh,Chandauli,"By 2016, ~70% soil samples with <8 ppm sulfate-sulfur",Limited data available
Uttar Pradesh,Jaunpur,Marginal sulfur availability in cultivated areas,Limited data available
Uttar Pradesh,Karnal,"By 2016, ~70% soil samples with <8 ppm sulfate-sulfur",Limited data available
Bihar,Patna,Urban and peri-urban soil sulfur challenges,Limited data available
Bihar,Gaya,Varied sulfur content in agricultural regions,Limited data available
Bihar,Nalanda,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Aurangabad,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Rohtas,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Kaimur,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Buxar,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Bhojpur,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Saran,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Siwan,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Gopalganj,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,East Champaran,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,West Champaran,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Sitamarhi,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Madhubani,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Supaul,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Araria,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Kishanganj,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Purnia,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Katihar,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Bhagalpur,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Banka,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Munger,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Khagaria,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Begusarai,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Samastipur,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
Bihar,Darbhanga,Sulfur deficiency in alluvial soils: 23-31%,Limited data available
